,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
138,62.0,3425.0,960.0,60.0,26.0,60,18.0,9.0,50.0,4650.0,1489.0,3946.0,1208.0,461.0,626.0,49.0,531.0,6.73,50,3.5,8.07,0.67,62.0,3801,3.63,2.58,5.78,39.0,0.94,5.11,3309.0,7368,13.18,16.28,silver,,,,,,
139,75.0,6528.0,1127.0,92.0,40.0,74,9.0,6.0,74.0,8092.0,922.0,5394.0,489.0,439.0,544.0,64.0,362.0,4.97,58,2.69,6.18,0.07,56.0,3387,2.75,1.86,4.03,25.0,0.4,5.31,2830.0,8473,9.87,14.64,silver,,,,,,
140,60.0,399.0,239.0,5.0,2.0,48,3.0,,3.0,483.0,409.0,556.0,396.0,350.0,423.0,57.0,488.0,2.63,48,1.75,4.38,,7.0,3202,2.63,0.78,0.88,7.0,,7.89,2821.0,8566,6.14,11.4,silver,,,1.0,,,
141,65.0,1326.0,809.0,11.0,4.0,52,6.0,3.0,8.0,575.0,391.0,739.0,597.0,742.0,322.0,60.0,414.0,4.48,49,2.24,6.16,,57.0,3626,1.12,1.4,0.56,57.0,,5.6,2650.0,10151,7.84,14.56,silver,,,,,,
142,74.0,2586.0,672.0,32.0,11.0,63,6.0,4.0,24.0,1615.0,324.0,2382.0,492.0,402.0,251.0,57.0,371.0,3.73,48,1.71,4.98,,71.0,2541,1.24,0.93,3.42,28.0,0.16,6.53,1873.0,8988,6.07,10.89,silver,,,,,,
143,76.0,6529.0,796.0,115.0,61.0,83,17.0,11.0,102.0,10388.0,1361.0,5386.0,1123.0,363.0,577.0,65.0,299.0,5.66,62,3.39,6.39,0.28,73.0,3957,3.22,2.27,4.33,13.0,0.33,5.22,3143.0,8085,11.83,14.44,silver,,,,,,
144,70.0,4378.0,801.0,63.0,54.0,63,12.0,8.0,98.0,7335.0,991.0,5433.0,1078.0,294.0,492.0,59.0,364.0,6.57,47,3.62,4.22,0.13,68.0,3425,2.48,2.16,4.29,17.0,0.4,5.3,2805.0,9218,11.47,17.57,silver,,,,,,
145,64.0,3776.0,748.0,53.0,35.0,74,13.0,10.0,61.0,5350.0,1575.0,4739.0,1364.0,407.0,576.0,56.0,510.0,6.57,52,3.77,5.71,0.11,52.0,4383,2.48,2.17,4.74,14.0,0.22,5.17,3119.0,9656,11.2,17.33,silver,,,,,,
146,100.0,19941.0,1076.0,275.0,165.0,77,10.0,7.0,257.0,23246.0,942.0,20188.0,977.0,383.0,447.0,60.0,388.0,4.94,53,3.17,5.29,0.04,93.0,2482,1.85,1.34,4.35,36.0,0.1,6.63,1918.0,9069,8.9,16.38,silver,,,,,,
147,57.0,227.0,227.0,3.0,3.0,53,3.0,3.0,4.0,327.0,327.0,372.0,372.0,218.0,313.0,57.0,357.0,3.83,53,2.88,2.88,,57.0,2454,0.96,1.17,4.79,4.0,,5.75,1051.0,9357,6.71,12.46,silver,,,,,,
148,86.0,3883.0,900.0,57.0,31.0,61,15.0,5.0,50.0,3934.0,581.0,2755.0,488.0,467.0,474.0,64.0,332.0,6.02,50,3.73,6.86,,82.0,3195,3.49,1.58,5.78,54.0,0.24,7.7,2849.0,7808,12.16,15.29,silver,,,,,,
149,83.0,5885.0,465.0,87.0,56.0,100,8.0,7.0,75.0,8456.0,1017.0,8674.0,839.0,285.0,409.0,58.0,420.0,3.63,48,2.71,4.21,0.15,68.0,2810,1.98,1.27,4.16,23.0,0.05,6.34,2115.0,8124,8.03,14.61,silver,,,,,,
150,66.0,781.0,443.0,22.0,10.0,58,11.0,4.0,12.0,1639.0,672.0,721.0,443.0,327.0,686.0,61.0,302.0,5.02,56,4.19,9.21,,20.0,3839,1.67,2.64,3.77,15.0,,4.61,2986.0,9244,12.14,17.17,gold,,,,,,
151,68.0,1532.0,628.0,32.0,21.0,57,9.0,7.0,34.0,2994.0,1100.0,2688.0,786.0,267.0,523.0,62.0,469.0,5.94,49,3.67,5.59,,51.0,2641,1.92,1.5,4.19,8.0,0.17,5.94,2147.0,9003,8.9,14.84,gold,,,,,,
152,74.0,4031.0,577.0,48.0,22.0,71,8.0,5.0,43.0,3969.0,758.0,3835.0,788.0,437.0,430.0,67.0,416.0,4.66,63,2.38,5.2,0.11,63.0,3168,1.95,1.36,3.47,34.0,0.22,6.93,2481.0,8720,9.43,13.43,gold,,,,,,
153,70.0,2025.0,700.0,53.0,24.0,75,14.0,8.0,53.0,4210.0,1361.0,2854.0,1064.0,339.0,704.0,65.0,478.0,8.87,55,4.02,8.87,0.5,55.0,5324,3.51,4.09,6.19,33.0,0.33,3.85,4320.0,10121,15.73,18.74,gold,,,,,,
154,71.0,1844.0,469.0,14.0,10.0,62,7.0,4.0,13.0,1787.0,600.0,1044.0,470.0,496.0,481.0,58.0,281.0,3.5,50,2.69,3.77,0.27,81.0,3533,2.42,1.07,3.5,11.0,0.27,7.8,2849.0,6845,8.34,10.22,gold,,,,,,
155,60.0,100.0,100.0,2.0,,33,2.0,,,113.0,113.0,,,289.0,326.0,60.0,,2.89,33,,5.79,,22.0,3018,,,8.68,22.0,,8.68,3018.0,5091,8.68,14.47,gold,1.0,,,,,1.0
156,66.0,1153.0,647.0,11.0,4.0,54,7.0,3.0,18.0,991.0,408.0,1638.0,812.0,420.0,361.0,62.0,596.0,6.55,52,1.46,4.01,,36.0,3388,2.91,2.92,5.1,33.0,0.36,4.37,2779.0,9694,12.75,17.48,gold,,,,,,
157,53.0,,,,,54,,,2.0,133.0,133.0,277.0,277.0,,388.0,53.0,812.0,5.86,54,,2.93,,,1596,,,,,,5.86,1347.0,10281,5.86,17.59,gold,,,,1.0,1.0,1.0
158,76.0,13554.0,882.0,236.0,171.0,85,15.0,11.0,299.0,23292.0,1319.0,15578.0,988.0,316.0,543.0,61.0,363.0,6.97,60,3.99,5.5,0.33,82.0,3428,3.5,2.47,6.2,33.0,0.37,5.18,2958.0,8676,12.78,16.81,gold,,,,,,
159,70.0,18903.0,1132.0,325.0,174.0,70,20.0,13.0,247.0,24765.0,1768.0,18843.0,1070.0,409.0,536.0,60.0,407.0,5.34,53,3.76,7.03,0.13,67.0,3610,3.31,2.23,4.91,23.0,0.35,5.38,3068.0,8990,12.02,15.76,gold,,,,,,
160,71.0,538.0,538.0,2.0,,71,2.0,,3.0,,,187.0,187.0,907.0,,71.0,315.0,5.06,71,,3.37,,12.0,3075,,0.5,,5.0,,13.48,2453.0,9332,6.74,13.48,gold,,,,,,
161,67.0,1004.0,747.0,17.0,17.0,58,10.0,9.0,20.0,2135.0,1060.0,1674.0,1021.0,358.0,762.0,55.0,597.0,7.14,48,6.07,6.07,,118.0,3416,1.43,2.06,6.42,20.0,0.36,5.71,2850.0,8834,11.78,19.98,gold,,,,,,
162,72.0,5783.0,677.0,138.0,66.0,67,16.0,7.0,133.0,9677.0,1486.0,9699.0,1380.0,295.0,493.0,61.0,494.0,6.78,55,3.36,7.04,0.15,54.0,3371,2.75,2.19,4.59,13.0,0.25,5.76,2932.0,8251,12.64,16.21,gold,,,,,,
163,48.0,411.0,411.0,5.0,7.0,43,5.0,7.0,6.0,,,271.0,271.0,497.0,,48.0,328.0,7.26,43,8.47,6.05,,19.0,6719,3.63,2.6,6.05,,,6.05,4637.0,7447,15.73,,gold,,,,,,
164,72.0,46910.0,1016.0,1203.0,506.0,72,22.0,10.0,888.0,80467.0,1520.0,79075.0,1565.0,280.0,481.0,58.0,472.0,5.31,52,3.02,7.19,0.08,58.0,3911,2.65,2.29,4.5,21.0,0.26,5.02,3265.0,9391,11.51,16.09,gold,,,,,,
165,67.0,3375.0,535.0,75.0,44.0,68,14.0,9.0,71.0,4159.0,588.0,3371.0,495.0,337.0,416.0,54.0,337.0,7.1,54,4.4,7.5,0.4,69.0,4577,4.1,4.22,8.59,30.0,0.4,3.7,3555.0,8104,15.59,17.59,gold,,,,,,
166,55.0,965.0,965.0,4.0,2.0,55,3.0,2.0,6.0,,,801.0,657.0,629.0,,55.0,521.0,3.91,47,1.3,2.61,,21.0,2973,1.3,0.89,2.61,,,5.86,1433.0,10671,5.21,,gold,,,,,,
167,85.0,42282.0,1021.0,671.0,367.0,100,15.0,14.0,657.0,48859.0,1819.0,53161.0,1424.0,399.0,461.0,62.0,502.0,6.2,54,3.46,6.33,0.13,68.0,4057,3.38,1.99,5.75,29.0,0.26,6.29,3382.0,8809,12.51,14.6,gold,,,,,,
168,82.0,12483.0,909.0,189.0,161.0,78,11.0,11.0,221.0,22463.0,1194.0,12048.0,864.0,321.0,577.0,65.0,309.0,5.68,63,4.13,4.85,0.18,70.0,3742,3.54,2.18,4.75,28.0,0.23,5.21,2801.0,8837,11.38,15.51,gold,,,,,,
169,67.0,474.0,303.0,13.0,8.0,50,9.0,6.0,7.0,914.0,650.0,993.0,601.0,292.0,562.0,62.0,611.0,4.3,50,4.92,7.99,,80.0,4433,2.46,2.0,6.76,71.0,,6.76,4153.0,6484,13.53,14.76,gold,,,,,,
170,77.0,34667.0,1052.0,546.0,398.0,89,13.0,13.0,513.0,51513.0,1345.0,44262.0,1476.0,313.0,464.0,66.0,399.0,4.62,55,3.59,4.92,0.05,64.0,3357,2.43,2.51,4.79,21.0,0.26,4.16,2747.0,9536,10.46,16.52,gold,,,,,,
171,100.0,3310.0,587.0,61.0,32.0,65,17.0,8.0,60.0,4207.0,1132.0,4758.0,1128.0,337.0,429.0,55.0,485.0,6.12,44,3.26,6.22,0.1,70.0,4353,2.75,1.89,5.61,20.0,0.31,6.22,3264.0,8735,11.72,13.96,gold,,,,,,
172,100.0,9910.0,534.0,161.0,99.0,100,9.0,5.0,162.0,17363.0,1135.0,15647.0,865.0,293.0,514.0,60.0,463.0,4.8,56,2.93,4.77,0.18,52.0,3544,1.75,1.42,3.76,21.0,0.18,6.25,2812.0,10399,8.86,15.7,gold,,,,,,
173,76.0,4416.0,795.0,86.0,25.0,83,20.0,7.0,63.0,6345.0,1641.0,5353.0,1028.0,512.0,735.0,67.0,620.0,7.3,67,2.9,9.96,,93.0,5271,3.01,2.95,7.88,46.0,0.35,4.52,4505.0,13492,13.32,17.03,gold,,,,,,
174,73.0,15195.0,1179.0,283.0,198.0,69,17.0,11.0,306.0,26087.0,1292.0,19610.0,1548.0,326.0,559.0,62.0,420.0,6.56,56,4.24,6.06,0.21,71.0,3772,2.87,2.17,5.42,24.0,0.26,5.66,3151.0,8737,12.26,16.87,gold,,,,,,
175,70.0,805.0,321.0,13.0,10.0,63,6.0,6.0,10.0,2493.0,1284.0,1526.0,636.0,255.0,790.0,63.0,484.0,3.17,57,3.17,4.12,,74.0,2482,1.27,1.31,0.95,24.0,0.32,4.12,1735.0,11177,5.39,15.52,gold,,,,,,
176,64.0,1637.0,668.0,33.0,10.0,57,14.0,4.0,20.0,2698.0,988.0,2436.0,822.0,296.0,487.0,46.0,440.0,3.61,45,1.81,5.96,0.36,88.0,3153,1.45,,4.16,30.0,0.18,6.32,1683.0,9405,6.32,11.2,gold,,,,,,1.0
177,56.0,773.0,773.0,15.0,6.0,47,15.0,6.0,17.0,,,1094.0,1094.0,480.0,,56.0,679.0,10.56,47,3.73,9.32,,101.0,3922,1.86,2.3,4.97,,0.62,6.21,3009.0,8424,14.29,,gold,,,,,,
178,67.0,4693.0,1139.0,50.0,17.0,100,8.0,6.0,54.0,4437.0,1219.0,3261.0,536.0,524.0,496.0,55.0,364.0,6.03,49,1.9,5.59,0.11,73.0,4068,1.56,1.52,4.47,30.0,0.22,6.93,3112.0,8663,10.5,15.31,gold,,,,,,
179,58.0,100.0,100.0,5.0,4.0,36,5.0,4.0,3.0,247.0,247.0,99.0,99.0,123.0,303.0,58.0,122.0,3.68,36,4.9,6.13,,52.0,2833,,0.78,2.45,36.0,,11.04,2833.0,5279,8.58,14.71,gold,,,,,,
180,67.0,509.0,268.0,9.0,,65,7.0,,9.0,559.0,294.0,856.0,534.0,343.0,377.0,67.0,577.0,6.07,61,0.67,6.07,,17.0,2505,2.02,0.75,1.35,4.0,,8.09,1812.0,10653,6.07,5.39,gold,,1.0,1.0,,,
181,67.0,666.0,294.0,9.0,8.0,43,8.0,7.0,10.0,895.0,635.0,650.0,359.0,321.0,431.0,57.0,313.0,4.82,41,3.85,4.33,,91.0,2098,1.93,1.91,6.26,10.0,,5.3,1691.0,8288,10.11,14.93,gold,,,,,,
182,100.0,3419.0,507.0,46.0,27.0,83,7.0,6.0,40.0,4153.0,676.0,2917.0,556.0,363.0,441.0,63.0,310.0,4.25,54,2.87,4.89,,38.0,3472,1.81,1.31,3.29,11.0,0.43,6.48,2784.0,8534,8.5,14.13,gold,,,,,,
183,71.0,5553.0,810.0,123.0,52.0,74,12.0,11.0,96.0,7655.0,896.0,6922.0,679.0,339.0,467.0,58.0,422.0,5.85,50,3.17,7.5,0.18,101.0,3546,2.26,1.68,5.85,31.0,0.18,6.77,3136.0,8136,11.34,17.01,gold,,,,,,
184,71.0,2415.0,698.0,29.0,29.0,54,9.0,9.0,34.0,4313.0,1069.0,2739.0,929.0,378.0,676.0,60.0,429.0,5.33,48,4.54,4.54,,88.0,3145,1.72,2.14,3.92,13.0,0.16,4.54,2779.0,9362,9.71,15.51,gold,,,,,,
185,64.0,4164.0,951.0,48.0,21.0,59,7.0,4.0,40.0,3511.0,577.0,2120.0,426.0,431.0,364.0,52.0,220.0,4.14,46,2.18,4.97,0.1,73.0,3246,1.76,1.55,4.14,30.0,0.1,5.7,2491.0,7928,8.81,12.74,gold,,,,,,
186,65.0,757.0,221.0,32.0,12.0,51,12.0,3.0,27.0,1487.0,500.0,1179.0,601.0,170.0,333.0,49.0,264.0,6.05,49,2.69,7.17,0.22,76.0,3577,1.79,1.54,3.36,24.0,0.67,6.27,2532.0,7307,9.63,15.45,gold,,,,,,
187,63.0,394.0,394.0,4.0,2.0,60,4.0,2.0,,,,939.0,939.0,461.0,,63.0,1100.0,1.17,60,2.34,4.68,,91.0,4936,,0.57,,,,8.19,2439.0,9372,4.68,,gold,1.0,,,,,
188,80.0,32132.0,894.0,557.0,368.0,100,18.0,15.0,572.0,53980.0,1466.0,38145.0,1316.0,323.0,542.0,64.0,383.0,5.75,59,3.7,5.59,0.17,42.0,3504,2.88,2.14,4.26,15.0,0.37,5.22,2781.0,8502,11.2,15.91,gold,,,,,,
189,69.0,1600.0,606.0,30.0,12.0,66,8.0,5.0,27.0,1925.0,537.0,2142.0,564.0,306.0,368.0,61.0,410.0,5.16,54,2.3,5.74,0.19,103.0,3195,3.06,1.59,5.93,23.0,0.38,6.12,2631.0,7992,9.75,11.09,gold,,,,,,
190,64.0,1444.0,722.0,30.0,17.0,59,15.0,11.0,31.0,2291.0,1199.0,1852.0,1229.0,399.0,634.0,58.0,512.0,8.57,55,4.7,8.3,0.28,87.0,4579,3.59,1.91,6.36,23.0,,6.36,3888.0,10641,12.17,15.21,gold,,,,,,
191,49.0,392.0,392.0,3.0,2.0,45,3.0,2.0,5.0,308.0,308.0,263.0,263.0,436.0,343.0,49.0,293.0,5.57,45,2.23,3.34,,57.0,4381,1.11,1.57,5.57,49.0,,7.8,4309.0,5987,12.25,17.82,gold,,,,,,
192,56.0,631.0,631.0,4.0,6.0,54,4.0,6.0,5.0,626.0,626.0,383.0,383.0,509.0,504.0,56.0,308.0,4.03,54,4.83,3.22,,50.0,2038,1.61,,3.22,4.0,,7.25,1982.0,10874,7.25,11.28,gold,,,,,,1.0
193,78.0,10660.0,743.0,172.0,100.0,69,14.0,9.0,158.0,16100.0,1339.0,13174.0,1337.0,378.0,571.0,64.0,467.0,5.6,55,3.54,6.1,0.11,42.0,3785,3.08,2.41,4.96,17.0,0.32,4.96,3381.0,9033,11.98,16.3,gold,,,,,,
194,71.0,3492.0,1231.0,27.0,21.0,74,7.0,9.0,14.0,,,2841.0,772.0,695.0,,63.0,565.0,2.79,55,4.18,5.37,,73.0,3971,2.19,1.36,2.79,,0.8,5.57,2880.0,9368,7.56,,gold,,,,,,
195,63.0,2223.0,558.0,49.0,24.0,56,11.0,6.0,63.0,3043.0,715.0,2784.0,577.0,292.0,399.0,57.0,365.0,8.27,52,3.15,6.43,0.26,104.0,2922,2.62,2.02,6.04,30.0,0.26,6.04,2451.0,9183,12.2,18.11,gold,,,,,,
196,67.0,953.0,953.0,3.0,,47,3.0,,3.0,,,421.0,421.0,1250.0,,67.0,552.0,3.93,47,1.31,3.93,,64.0,3101,2.62,1.33,2.62,,1.31,7.87,1744.0,8457,10.49,,gold,,1.0,1.0,,,
197,70.0,2476.0,1025.0,22.0,13.0,55,8.0,5.0,33.0,1233.0,457.0,1965.0,734.0,489.0,244.0,55.0,388.0,6.52,53,2.57,4.35,0.4,115.0,2645,2.77,1.18,4.74,23.0,0.2,8.69,1921.0,7620,10.27,13.04,gold,,,,,,
198,66.0,2816.0,1062.0,53.0,31.0,63,13.0,13.0,42.0,4468.0,1735.0,3403.0,807.0,373.0,592.0,62.0,451.0,5.56,58,4.11,7.02,0.53,44.0,4713,5.56,2.55,4.5,8.0,0.4,5.83,4158.0,9498,14.83,15.76,gold,,,,,,
199,63.0,5423.0,917.0,65.0,44.0,72,12.0,10.0,60.0,7041.0,1009.0,4192.0,916.0,453.0,588.0,54.0,350.0,5.01,47,3.68,5.43,0.17,84.0,2915,1.59,1.46,6.18,24.0,,6.85,2187.0,8289,10.03,15.96,gold,,,,,,
200,100.0,10954.0,915.0,246.0,107.0,56,21.0,8.0,225.0,16230.0,1784.0,14447.0,1530.0,392.0,581.0,52.0,517.0,8.05,39,3.83,8.8,0.21,93.0,4214,3.4,2.17,7.48,36.0,0.18,6.33,3318.0,8076,13.74,16.88,gold,,,,,,
201,76.0,3681.0,1001.0,61.0,31.0,66,15.0,7.0,48.0,4779.0,1240.0,4442.0,1120.0,469.0,609.0,65.0,566.0,6.12,57,3.95,7.77,0.13,111.0,3513,2.17,2.33,7.01,34.0,0.25,5.73,3347.0,9363,13.38,18.35,gold,,,,,,
202,62.0,500.0,500.0,11.0,9.0,59,11.0,9.0,11.0,791.0,791.0,410.0,410.0,293.0,463.0,62.0,240.0,6.45,59,5.28,6.45,,131.0,4293,1.76,2.44,7.62,12.0,,5.28,3701.0,7354,12.9,15.24,gold,,,,,,
203,70.0,1605.0,362.0,45.0,18.0,58,11.0,4.0,45.0,3666.0,807.0,2872.0,719.0,230.0,526.0,64.0,412.0,6.45,50,2.58,6.45,0.14,70.0,3485,3.59,3.54,6.6,31.0,0.57,3.44,2908.0,10457,12.19,17.5,gold,,,,,,
204,,273.0,273.0,2.0,,62,2.0,,,,,116.0,116.0,759.0,,,322.0,,62,2.78,5.55,,12.0,1426,2.78,0.5,2.78,,,5.55,846.0,14363,2.78,,gold,,1.0,1.0,,,
205,75.0,2380.0,1097.0,38.0,23.0,59,12.0,7.0,40.0,,,3484.0,1002.0,380.0,,64.0,556.0,6.38,50,3.67,6.06,0.32,61.0,4242,2.39,1.94,3.67,,0.48,5.74,2888.0,10107,11.17,,gold,,,,,,
206,67.0,7326.0,778.0,91.0,57.0,55,14.0,7.0,112.0,8783.0,1585.0,8884.0,1366.0,423.0,507.0,52.0,513.0,6.47,43,3.29,5.25,0.17,93.0,3166,2.02,1.74,5.37,30.0,0.23,5.89,2481.0,8949,10.22,17.38,gold,,,,,,
207,69.0,2455.0,313.0,112.0,57.0,90,11.0,9.0,113.0,12835.0,1290.0,6026.0,713.0,108.0,565.0,57.0,265.0,4.97,53,2.51,4.93,0.18,35.0,3302,2.51,2.45,4.35,15.0,0.44,4.35,2801.0,8277,10.69,13.55,gold,,,,,,
208,71.0,3874.0,834.0,64.0,39.0,66,12.0,5.0,66.0,4552.0,861.0,3433.0,645.0,378.0,444.0,64.0,335.0,6.43,56,3.8,6.24,0.29,54.0,4353,4.29,3.29,7.21,21.0,0.68,4.68,4036.0,8647,15.4,17.74,gold,,,,,,
209,74.0,5591.0,895.0,49.0,45.0,67,8.0,12.0,50.0,5405.0,1117.0,7392.0,1130.0,475.0,459.0,62.0,628.0,4.25,57,3.82,4.16,0.08,114.0,1988,1.1,1.17,3.23,39.0,0.25,5.95,1706.0,9490,6.97,13.6,gold,,,,,,
210,92.0,3405.0,543.0,74.0,59.0,62,13.0,12.0,96.0,,,9916.0,1514.0,224.0,,63.0,654.0,6.33,55,3.89,4.88,,45.0,4630,2.24,2.2,4.75,,0.2,5.27,3047.0,10579,11.6,,gold,,,,,,
211,100.0,40627.0,1075.0,593.0,384.0,65,13.0,12.0,544.0,56397.0,1442.0,54061.0,1308.0,350.0,486.0,56.0,466.0,4.69,50,3.31,5.11,0.03,82.0,2506,1.25,1.24,4.28,27.0,0.06,6.52,1965.0,9236,8.12,15.51,gold,,,,,,
212,62.0,4628.0,802.0,90.0,58.0,59,12.0,11.0,77.0,8236.0,1221.0,5602.0,841.0,291.0,519.0,55.0,353.0,4.85,45,3.65,5.67,0.06,45.0,3736,2.46,2.32,3.84,17.0,0.5,4.53,3230.0,8328,10.52,15.12,gold,,,,,,
213,100.0,10577.0,957.0,125.0,106.0,75,16.0,12.0,128.0,15463.0,1058.0,17950.0,1395.0,377.0,551.0,66.0,640.0,4.56,56,3.78,4.45,0.04,70.0,2493,2.0,1.5,3.42,16.0,0.29,5.42,2024.0,11749,8.13,17.53,gold,,,,,,
214,100.0,3487.0,689.0,53.0,27.0,69,14.0,7.0,55.0,,,4325.0,692.0,361.0,,64.0,448.0,5.69,58,2.79,5.49,,34.0,3515,1.45,1.74,3.11,,,7.04,2553.0,8981,12.21,,gold,,,,,,
215,29.0,,,,,53,,,2.0,43.0,43.0,335.0,335.0,,161.0,29.0,1264.0,7.56,53,,3.78,,,5291,7.56,,,,,,4157.0,10192,7.56,,gold,,,,1.0,1.0,
216,100.0,3657.0,576.0,81.0,63.0,75,9.0,7.0,81.0,8449.0,1504.0,5927.0,714.0,214.0,495.0,63.0,347.0,4.75,54,3.69,4.75,0.18,52.0,2583,2.17,2.11,3.75,13.0,0.23,4.28,2061.0,10142,9.03,15.3,gold,,,,,,
217,55.0,897.0,500.0,28.0,23.0,52,10.0,8.0,16.0,2804.0,1021.0,2241.0,807.0,209.0,655.0,54.0,523.0,3.74,45,5.37,6.54,,37.0,3069,1.87,1.65,3.5,7.0,,5.37,2615.0,8526,8.87,14.01,gold,,,,,,
218,67.0,100.0,100.0,,,48,,,,,,14.0,14.0,486.0,,67.0,68.09,,48,,,,15.0,2724,,,,15.0,,14.59,1970.0,3510,,14.59,gold,,,,,,
219,71.0,1054.0,273.0,24.0,7.0,64,9.0,3.0,22.0,1659.0,445.0,2426.0,1178.0,261.0,410.0,66.0,600.0,5.44,57,1.73,5.94,0.25,87.0,2760,0.25,0.97,2.97,29.0,,7.67,2591.0,8805,7.42,12.86,gold,,,,,,
220,57.0,1695.0,385.0,58.0,21.0,58,13.0,4.0,59.0,3562.0,661.0,2064.0,624.0,261.0,549.0,51.0,318.0,9.09,50,3.24,8.94,0.31,73.0,4689,4.31,5.0,8.32,37.0,0.31,3.39,3847.0,7330,16.95,20.64,gold,,,,,,
221,73.0,5847.0,1359.0,116.0,106.0,80,20.0,15.0,80.0,13571.0,1550.0,10057.0,1293.0,279.0,647.0,66.0,480.0,3.82,64,5.06,5.53,0.1,60.0,3851,1.72,1.79,4.29,23.0,0.05,5.06,3075.0,10732,9.06,15.98,gold,,,,,,
222,74.0,45815.0,1063.0,842.0,457.0,72,15.0,13.0,866.0,59573.0,1350.0,77463.0,1814.0,336.0,436.0,59.0,567.0,6.34,51,3.35,6.17,0.19,60.0,3967,3.02,2.74,5.54,26.0,0.31,4.51,3231.0,8861,12.36,15.83,gold,,,,,,
223,61.0,2247.0,701.0,28.0,12.0,61,13.0,6.0,31.0,1323.0,696.0,1260.0,588.0,594.0,350.0,57.0,333.0,8.19,56,3.17,7.4,0.26,114.0,3311,2.11,2.0,5.55,29.0,0.26,5.81,2508.0,8588,11.63,18.5,gold,,,,,,
224,100.0,2952.0,750.0,38.0,28.0,64,7.0,10.0,44.0,4373.0,1350.0,1755.0,369.0,404.0,598.0,59.0,240.0,6.02,54,3.83,5.2,0.27,69.0,3701,2.74,1.88,6.43,38.0,,5.88,2508.0,8932,11.08,15.59,gold,,,,,,
225,70.0,3404.0,569.0,65.0,54.0,74,9.0,10.0,93.0,8126.0,1348.0,6536.0,821.0,222.0,530.0,65.0,426.0,6.07,60,3.52,4.24,0.07,63.0,2943,1.96,1.78,3.85,17.0,0.26,5.55,2045.0,8741,9.85,15.66,gold,,,,,,
226,60.0,6490.0,1091.0,50.0,40.0,62,12.0,11.0,96.0,5662.0,1192.0,4833.0,1082.0,537.0,469.0,57.0,400.0,7.95,53,3.31,4.14,0.33,81.0,3864,3.15,2.55,5.71,14.0,0.41,4.97,2919.0,10254,12.67,16.56,gold,,,,,,
227,100.0,1319.0,631.0,10.0,2.0,200,5.0,,10.0,320.0,169.0,500.0,301.0,559.0,136.0,53.0,212.0,4.23,47,0.85,4.23,0.85,156.0,2508,3.81,1.17,3.39,24.0,0.85,7.62,2118.0,7690,8.89,10.58,gold,,,1.0,,,
228,73.0,47349.0,1653.0,574.0,387.0,58,18.0,16.0,501.0,,,50039.0,2028.0,509.0,,56.0,538.0,5.39,49,4.16,6.17,0.06,75.0,4107,2.03,1.82,5.12,,0.12,6.03,2721.0,9926,10.96,,gold,,,,,,
229,100.0,21339.0,1025.0,311.0,200.0,66,14.0,11.0,244.0,25735.0,1714.0,26624.0,1171.0,385.0,464.0,61.0,480.0,4.4,54,3.61,5.61,0.07,78.0,2732,1.88,1.35,4.83,23.0,0.09,6.71,2261.0,9911,9.09,15.54,gold,,,,,,
230,63.0,2193.0,939.0,35.0,32.0,63,9.0,10.0,40.0,2857.0,643.0,2257.0,573.0,320.0,417.0,54.0,329.0,5.83,54,4.67,5.1,0.44,61.0,2714,3.06,2.03,4.52,13.0,,4.67,2163.0,7381,9.48,17.06,gold,,,,,,
231,76.0,103.0,103.0,6.0,3.0,70,6.0,3.0,3.0,686.0,686.0,769.0,769.0,181.0,1203.0,76.0,1348.0,5.26,70,5.26,10.52,,72.0,4454,5.26,1.4,8.76,66.0,1.75,8.76,4454.0,15077,12.27,12.27,plat,,,,,,
232,72.0,2896.0,627.0,70.0,43.0,55,11.0,7.0,72.0,5789.0,1073.0,6507.0,1358.0,278.0,555.0,58.0,624.0,6.9,49,4.12,6.71,,65.0,3852,4.03,2.42,6.62,16.0,0.48,5.66,3323.0,8972,13.71,16.39,plat,,,,,,
233,53.0,1188.0,862.0,16.0,4.0,68,6.0,2.0,20.0,634.0,223.0,1481.0,754.0,404.0,215.0,49.0,503.0,6.79,55,1.36,5.44,0.34,172.0,2935,3.4,1.5,5.1,41.0,,7.47,2222.0,7069,11.21,14.61,plat,,,,,,
