,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
76,71.0,2216.0,559.0,48.0,30.0,63,13.0,8.0,62.0,4175.0,995.0,3228.0,819.0,282.0,531.0,64.0,411.0,7.89,55,3.82,6.11,0.38,43.0,3878,3.31,2.57,5.22,24.0,0.25,5.6,2774.0,8958,14.38,18.58,silver,,,,,,
77,77.0,29104.0,1170.0,548.0,424.0,78,14.0,16.0,554.0,55953.0,1747.0,30813.0,950.0,257.0,494.0,67.0,272.0,4.89,57,3.74,4.84,0.16,50.0,2790,1.97,2.24,3.55,17.0,0.25,4.04,2149.0,9608,9.04,16.15,silver,,,,,,
78,85.0,1433.0,591.0,36.0,10.0,78,9.0,3.0,27.0,2846.0,1283.0,3067.0,1804.0,319.0,634.0,56.0,683.0,6.01,52,2.23,8.02,0.45,77.0,4398,4.01,2.39,6.01,12.0,0.22,5.12,4259.0,9217,12.25,13.37,silver,,,,,,
79,62.0,1745.0,642.0,19.0,14.0,62,6.0,4.0,18.0,1070.0,391.0,1046.0,389.0,651.0,399.0,57.0,390.0,6.71,50,5.22,7.09,0.37,34.0,4623,4.48,1.5,7.46,28.0,0.75,9.7,4350.0,8347,14.54,15.66,silver,,,,,,
80,61.0,1279.0,911.0,19.0,8.0,53,12.0,4.0,15.0,1686.0,984.0,1655.0,1126.0,467.0,616.0,60.0,604.0,5.48,50,2.92,6.94,,67.0,4690,1.1,1.29,5.48,18.0,,6.21,3640.0,9031,8.03,13.88,silver,,,,,,
81,72.0,202.0,102.0,9.0,3.0,55,5.0,2.0,4.0,451.0,311.0,357.0,268.0,220.0,491.0,58.0,388.0,4.35,53,3.26,9.79,,3.0,4789,2.18,0.55,3.26,3.0,1.09,11.97,4332.0,6431,6.53,10.88,silver,,,,,,
82,75.0,6951.0,787.0,105.0,51.0,82,13.0,7.0,82.0,6396.0,904.0,7106.0,686.0,553.0,509.0,62.0,566.0,6.53,56,4.06,8.36,,76.0,2848,1.59,1.48,4.94,33.0,0.08,7.48,2158.0,9485,11.06,17.99,silver,,,,,,
83,67.0,287.0,187.0,12.0,9.0,54,6.0,6.0,17.0,869.0,429.0,403.0,248.0,146.0,441.0,55.0,205.0,8.63,46,4.57,6.09,,12.0,2817,2.03,2.44,3.05,10.0,,4.57,2556.0,7929,11.17,19.3,silver,,,,,,
84,100.0,3657.0,576.0,81.0,63.0,75,9.0,7.0,81.0,8449.0,1504.0,5927.0,714.0,214.0,495.0,63.0,347.0,4.75,54,3.69,4.75,0.18,52.0,2583,2.17,2.11,3.75,13.0,0.23,4.28,2061.0,10142,9.03,15.3,silver,,,,,,
85,73.0,2139.0,578.0,42.0,23.0,48,9.0,4.0,47.0,4016.0,706.0,3250.0,914.0,320.0,601.0,52.0,486.0,7.03,42,3.44,6.28,0.15,62.0,4268,2.09,1.81,4.19,24.0,,6.43,3076.0,8582,11.66,16.15,silver,,,,,,
86,68.0,3090.0,584.0,46.0,32.0,65,9.0,8.0,50.0,3778.0,838.0,3204.0,711.0,337.0,412.0,55.0,349.0,5.45,46,3.49,5.01,0.11,74.0,2464,1.63,1.86,5.12,26.0,0.22,5.34,2232.0,7842,9.92,16.24,silver,,,,,,
87,64.0,1637.0,668.0,33.0,10.0,57,14.0,4.0,20.0,2698.0,988.0,2436.0,822.0,296.0,487.0,46.0,440.0,3.61,45,1.81,5.96,0.36,88.0,3153,1.45,,4.16,30.0,0.18,6.32,1683.0,9405,6.32,11.2,silver,,,,,,1.0
88,80.0,3524.0,784.0,61.0,41.0,71,12.0,7.0,82.0,6594.0,1173.0,5505.0,1213.0,284.0,531.0,65.0,444.0,6.61,58,3.3,4.92,,45.0,4203,2.98,3.15,5.08,8.0,0.32,4.19,3589.0,9327,13.22,17.25,silver,,,,,,
89,64.0,1567.0,733.0,46.0,24.0,72,18.0,9.0,37.0,2854.0,1067.0,2714.0,963.0,302.0,550.0,60.0,523.0,7.12,63,4.62,8.86,,88.0,4195,5.01,4.16,7.12,14.0,0.58,3.66,3614.0,10200,15.21,17.33,silver,,,,,,
90,49.0,412.0,412.0,4.0,3.0,51,4.0,3.0,3.0,407.0,407.0,461.0,461.0,413.0,408.0,50.0,462.0,3.01,51,3.01,4.01,,40.0,4664,5.01,1.8,2.01,31.0,,5.01,4280.0,7882,9.03,11.03,silver,,,,,,
91,100.0,21542.0,895.0,316.0,153.0,92,14.0,9.0,295.0,29121.0,2086.0,27698.0,1222.0,394.0,532.0,63.0,506.0,5.39,58,2.8,5.78,0.05,91.0,2851,2.23,2.26,5.76,41.0,0.11,4.72,2239.0,10398,10.64,16.03,silver,,,,,,
